OTU	Size	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Confidence2	Notes	Citation/Source
Otu068	46	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;unclassified;unclassified;	Hypocreales	7	Saprotroph	Undefined Saprotroph	Mold	NULL	Possible	Possible	NULL	"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
Otu072	45	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Zopfiella;unclassified;	Zopfiella	13	Saprotroph	Dung Saprotroph	NULL	NULL	Highly Probable	Highly Probable	NULL	"Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688"
Otu082	44	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetidae_ord_Incertae_sedis;f__Sordariomycetidae_fam_Incertae_sedis;g__Savoryella;s__Savoryella_lignicola;	Savoryella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu088	44	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Lulworthiales;unclassified;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu085	43	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_opportunistica;	Exophiala	13	Saprotroph	Undefined Saprotroph	Facultative Yeast	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471"
Otu114	40	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Stagonospora;unclassified;	Stagonospora	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu086	39	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Dactylaria;s__Dactylaria_dimorphospora;	Dactylaria	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Otu092	39	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__Dominikia_aurea;	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
Otu101	39	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora_bicolor;	Podospora	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph	NULL	NULL	Highly Probable	Highly Probable	NULL	"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Tedersoo L, et al. 2014. Science 346:1256688"
Otu097	39	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinales_Group_B;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu110	38	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Cadophora_melinii;	Cadophora	13	Pathotroph-Symbiotroph	Undefined Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	Known from plant roots.	"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)"
Otu094	37	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Myrmecridium;unclassified;	Myrmecridium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu112	37	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_microscopica;	Phaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu099	37	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu107	36	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Chalara;unclassified;	Chalara	13	Pathotroph-Saprotroph	Wood Saprotroph-Endophyte-Plant Pathogen	NULL	Soft Rot	Probable	Probable	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Tedersoo L, et al. 2014. Science 346:1256688"
Otu153	36	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;unclassified;unclassified;unclassified;	Saccharomycetales	7	Saprotroph	Undefined Saprotroph	Yeast	NULL	Possible	Possible	NULL	"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
Otu108	35	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__Leptosphaeria_sp;	Leptosphaeria	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu117	35	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Filosporella;s__Filosporella_fistucella;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu104	34	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Minutisphaera;s__Minutisphaera_aspera;	Minutisphaera	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu095	33	k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_gamsii;	Mortierella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu130	32	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Cryptococcus;s__Cryptococcus_dimennae;	Cryptococcus	13	Pathotroph-Saprotroph	Animal Pathogen-Saprotroph	Yeast	NULL	Highly Probable	Highly Probable	NULL	"Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Otu089	32	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Tingoldiago;s__Tingoldiago_graminicola;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu115	31	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu093	30	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;unclassified;	Gibberella	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu119	30	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tricladium;unclassified;	Tricladium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu125	30	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Ilyonectria;s__Ilyonectria_coprosmae;	Ilyonectria	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu111	29	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_zeae;	Gibberella	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu126	28	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Myrmecridium;s__Myrmecridium_sp;	Myrmecridium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu127	28	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetidae_ord_Incertae_sedis;f__Apiosporaceae;g__unclassified_Apiosporaceae;s__Apiosporaceae_sp;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu100	27	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;unclassified;unclassified;	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
Otu098	26	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;unclassified;	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
Otu142	25	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;unclassified;	Phaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu121	25	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Wettsteinina;s__Wettsteinina_lacustris;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu122	25	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetidae_ord_Incertae_sedis;f__Reticulascaceae;g__Reticulascus;s__Reticulascus_clavatus;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu103	24	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;unclassified;	Bipolaris	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu105	24	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;unclassified;	Podospora	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph	NULL	NULL	Highly Probable	Highly Probable	NULL	"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Tedersoo L, et al. 2014. Science 346:1256688"
Otu124	24	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Cryptococcus;s__Cryptococcus_baii;	Cryptococcus	13	Pathotroph-Saprotroph	Animal Pathogen-Saprotroph	Yeast	NULL	Highly Probable	Highly Probable	NULL	"Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Otu136	24	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Lulworthiales;f__Lulworthiaceae;g__Lulwoana;s__Lulwoana_sp;	Lulwoana	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu283	24	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;unclassified;unclassified;	Hypocreales	7	Saprotroph	Undefined Saprotroph	Mold	NULL	Possible	Possible	NULL	"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
Otu128	23	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella;s__Psathyrella_typhae;	Psathyrella	13	Saprotroph	Wood Saprotroph	Agaricoid	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu144	23	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum;s__Cladorrhinum_sp;	Cladorrhinum	13	Saprotroph	Animal Pathogen-Dung Saprotroph-Human Pathogen-Plant Saprotroph-Soil Saprotrophs-Undefined Endophyte-Wood Saprotroph	NULL	Soft Rot	Probable	Probable	"...found in soil as saprotrophs on dung or plant material, or in roots as endophytes. Some species have been associated with human and animal opportunistic diseases"	"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Carmaran CC, et al.2015. Mycological Progress 14:94"
Otu159	23	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraphaeosphaeria;s__Paraphaeosphaeria_pilleata;	Paraphaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu106	22	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Microdochium;unclassified;	Microdochium	13	Pathotroph	Plant Pathogen-Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (as plant pathogen); Mandyam et al. 2012. Mycorrhiza 22:109-119 (as DSE)."
Otu113	22	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora_multipilosa;	Podospora	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph	NULL	NULL	Highly Probable	Highly Probable	NULL	"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Tedersoo L, et al. 2014. Science 346:1256688"
Otu116	22	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu131	21	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Marchandiobasidium;s__Marchandiobasidium_sp;	Marchandiobasidium	13	Symbiotroph	Lichenicolous-Lichenized	NULL	NULL	Highly Probable	Highly Probable	NULL	"Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm); Tedersoo L, et al. 2014. Science 346:1256688"
Otu109	20	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;unclassified;unclassified;unclassified;	Hypocreales	7	Saprotroph	Undefined Saprotroph	Mold	NULL	Possible	Possible	NULL	"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
Otu139	20	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetidae_ord_Incertae_sedis;f__Apiosporaceae;g__Arthrinium;s__Arthrinium_phaeospermum;	Arthrinium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu176	20	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Subplenodomus;unclassified;	Subplenodomus	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu160	17	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;unclassified;	Trichoderma	13	Saprotroph	Wood Saprotroph	NULL	Soft Rot	Highly Probable	Highly Probable	NULL	"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx"
Otu118	16	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella;s__Ophiosphaerella_agrostidis;	Ophiosphaerella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu157	16	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;unclassified;	Aspergillus	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu120	16	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;unclassified;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu149	16	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Sarimanas;s__Sarimanas_shirakamiense;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu133	15	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma;unclassified;	Ganoderma	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Polyporoid	White Rot	Highly Probable	Highly Probable	NULL	"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Otu134	15	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;unclassified;unclassified;	Saccharomycetales	7	Saprotroph	Undefined Saprotroph	Yeast	NULL	Possible	Possible	NULL	"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
Otu138	15	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Monosporascus;unclassified;	Monosporascus	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Otu177	15	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Ilyonectria;s__Ilyonectria_sp;	Ilyonectria	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu155	15	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu123	14	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Ilyonectria;s__Ilyonectria_mors-panacis;	Ilyonectria	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu129	14	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetidae_ord_Incertae_sedis;f__Apiosporaceae;g__Arthrinium;unclassified;	Arthrinium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu135	14	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Myrothecium;unclassified;	Myrothecium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu143	14	k__Fungi;p__Ascomycota;c__Dothideomycetes;unclassified;unclassified;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu147	13	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Monographella;s__Monographella_nivalis;	Monographella	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu150	13	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;unclassified;	Exophiala	13	Saprotroph	Undefined Saprotroph	Facultative Yeast	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471"
Otu151	13	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Cryptococcus;s__Cryptococcus_gastricus;	Cryptococcus	13	Pathotroph-Saprotroph	Animal Pathogen-Saprotroph	Yeast	NULL	Highly Probable	Highly Probable	NULL	"Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Otu154	13	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Spirosphaera;s__Spirosphaera_cupreorufescens;	Spirosphaera	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu172	13	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Setoseptoria;s__Setoseptoria_phragmitis;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu137	12	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales;f__Leotiaceae;g__Alatospora;s__Alatospora_acuminata;	Alatospora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu140	12	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_tubakii;	Hypocreales	7	Saprotroph	Undefined Saprotroph	Mold	NULL	Possible	Possible	NULL	"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
Otu148	12	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolales_fam_Incertae_sedis;g__Rhodotorula;unclassified;	Rhodotorula	13	Pathotroph-Saprotroph	Animal Symbiont-Undefined Saprotroph	NULL	NULL	Probable	Probable	Opportunistic human pathogen	http://www.cdc.gov
Otu169	12	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Parasola;s__Parasola_sp;	Parasola	13	Saprotroph	Undefined Saprotroph	Agaricoid	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu192	12	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Cryptococcus;s__Cryptococcus_skinneri;	Cryptococcus	13	Pathotroph-Saprotroph	Animal Pathogen-Saprotroph	Yeast	NULL	Highly Probable	Highly Probable	NULL	"Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Otu132	12	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Clohesyomyces;s__Clohesyomyces_sp;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu152	11	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;unclassified;	Penicillium	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	NULL	"Mold, Soft Rot"	Highly Probable	Highly Probable	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx"
Otu162	11	k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;unclassified;	Mortierella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu167	11	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Myrothecium;s__Myrothecium_gramineum;	Myrothecium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu249	11	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Dioszegia;s__Dioszegia_sp;	Dioszegia	13	Saprotroph	Undefined Saprotroph	Yeast	NULL	Probable	Probable	The Dioszegia subclade sensu Inacio (Inacio et al. 20015) is characterized by orange-yellow or orange to deep orange colonies. Isolated from plant leaves and soil.	"Takashima M, et al. 2011 International Journal of Systematic and Evolutionary Microbiology 61:1736-1739"
Otu141	11	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;unclassified;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu146	10	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Cyberlindnera;unclassified;	Saccharomycetales	7	Saprotroph	Undefined Saprotroph	Yeast	NULL	Possible	Possible	NULL	"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
Otu163	10	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_metachromatica;	Alternaria	13	Saprotroph-Pathotroph 	Plant Pathogen-Wood Saprotroph	NULL	Soft Rot	Probable	Probable	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:125688"
Otu166	10	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Thelonectria;unclassified;	Thelonectria	13	Saprotroph	Litter Saprotroph	NULL	NULL	Highly Probable	Highly Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688; Salgado-Salazar et al. 2013. PLoS ONE 8,e76737"
